name,hex
Peevish Red,#ff2266
Persian Red,#cc3333
Philippine Red,#ce1127
Phoenix Red,#e2725b
Piercing Red,#dd1122
Pindjur Red,#bb4411
Pink Red,#f5054f
Pinkish Red,#f10c45
Pomelo Red,#e38fac
Pompeian Red,#a4292e
Poppy Red,#dc343b
Precocious Red,#e8dee3
Proton Red,#840804
Pure Red,#d22d1d
Purple Red,#990147
Purplish Red,#b0054b
Qermez Red,#cf3c71
Racing Red,#bd162c
Rackham Red,#d6341e
Radical Red,#ff355e
Rare Red,#dd1133
Real Red,#a90308
Rebel Red,#cd4035
Rebellion Red,#cc0404
Red,#ff0000
Red Alert,#ff0f0f
Red Baron,#bb0011
Red Bean,#3d0c02
Red Beech,#7b3801
Red Bell Pepper,#dd3300
Red Berry,#701f28
Red Birch,#9d2b22
Red Blood,#660000
Red Blooded,#8a3c38
Red Brown,#a52a2f
Red Bud,#962d49
Red Cabbage,#534a77
Red Card,#ff3322
Red Carpet,#bc2026
Red Cedar,#d87678
Red Chalk,#ed7777
Red Clay,#8f4b41
Red Clown,#d43e38
Red Contrast,#b33234
Red Craft,#91433e
Red Cray,#e45e32
Red Crayon,#ee204d
Red Dahlia,#7d2027
Red Damask,#cb6f4a
Red Dead Redemption,#bb012d
Red Devil,#860111
Red Dit,#ff4500
Red Dust,#e8dedb
Red Earth,#a2816e
Red Emulsion,#e9dbde
Red Endive,#794d60
Red Flag,#ff2244
Red Gooseberry,#604046
Red Gore,#ad1400
Red Gravel,#b8866e
Red Gumball,#ac3a3e
Red Herring,#dd1144
Red Hook,#845544
Red Hot,#dd0033
Red Hot Jazz,#773c31
Red Icon,#c93543
Red Ink,#ac3235
Red Kite,#913228
Red Knuckles,#dd0011
Red Leather,#ab4d50
Red Leever,#881400
Red Licorice,#a83e4c
Red Light Neon,#ff0055
Red Lilac Purple,#bfbac0
Red Mahogany,#60373d
Red Mane,#6d3d2a
Red Maple Leaf,#834c4b
Red Mull,#ff8888
Red Mulled Wine,#880022
Red Ochre,#913832
Red October,#fe2712
Red Onion,#473442
Red Orange,#ff3f34
Red Orange Juice,#ff5349
Red Orpiment,#cd6d57
Red Oxide,#5d1f1e
Red Paracentrotus,#bb0044
Red Pear,#7b3539
Red Pegasus,#dd0000
Red Perfume,#f6b894
Red Pigment,#ed1c24
Red Pink,#fa2a55
Red Plum,#7c2946
Red Potion,#dd143d
Red Power,#d63d3b
Red Prayer Flag,#bb1100
Red Purple,#e40078
Red Radish,#ee3344
Red Rampage,#ee3322
Red Revival,#a8453b
Red Ribbon,#ed0a3f
Red Riding Hood,#fe2713
Red River,#b95543
Red Robin,#7d4138
Red Rock,#a65052
Red Rock Falls,#a27253
Red Rock Panorama,#b29e9d
Red Rooster,#7e5146
Red Rust,#8a3319
Red Safflower,#c53d43
Red Salsa,#fd3a4a
Red Sandstorm,#e5cac0
Red Shade Wash,#862808
Red Shimmer,#fee0da
Red Shrivel,#874c62
Red Sparowes,#c8756d
Red Stage,#ad522e
Red Stop,#ff2222
Red Tape,#cc1133
Red Terra,#ae4930
Red Tolumnia Orchid,#be0119
Red Tone Ink,#8b2e08
Red Velvet,#783b38
Red Vine,#5f383c
Red Violet,#9e0168
Red Wattle Hog,#765952
Red Wine,#8c0034
Red Wine Vinegar,#722f37
Red Wrath,#ee1155
Red-Eye,#dd1155
Red-Handed,#dd2233
Red-Letter Day,#cc0055
Red-Tailed-Hawk,#a27547
Redalicious,#bb2211
Redbox,#94332f
Reddish,#c44240
Reddish Banana,#ffbb88
Reddish Black,#433635
Reddish Brown,#7f2b0a
Reddish Grey,#997570
Reddish Orange,#f8481c
Reddish Pink,#fe2c54
Reddish Purple,#910951
Reddish White,#fff8d5
Reddy Brown,#6e1005
Rediscover,#c3cdc9
Redneck,#f5d6d8
Redridge Brown,#9d4e34
Redrum,#ff2200
Redstone,#e46b71
Redtail,#af4544
Reduced Blue,#d6dfec
Reduced Green,#e7e9d8
Reduced Pink,#f6e4e4
Reduced Red,#efdedf
Reduced Sand,#eee5da
Reduced Sky,#d3eeec
Reduced Spearmint,#dbe8df
Reduced Turquoise,#daece7
Reduced Yellow,#f0ead7
Redwood,#5b342e
Redwood City,#b45f56
Redwood Forest,#916f5e
RedЯum,#ff0044
Relieved Red,#e9dbdf
Revival Red,#7f4e47
Rhode Island Red,#9b5b55
Ribbon Red,#b92636
Rich Red,#ff1144
Rich Red Violet,#7c3651
Rio Red,#8a2232
Rockin Red,#bc363c
Rocky Mountain Red,#76443e
Rococco Red,#bb363f
Roman Empire Red,#ee1111
Rose Red,#c92351
Roses are Red,#aa3646
Rouge Red,#e24666
Royal Red Flush,#8e3c3f
Rubine Red,#d10056
Ruby Red,#9b111e
Rumba Red,#7c2439
Ruskin Red,#935242
Rust Red,#aa2704
Rustic Red,#3a181a
Rusty Red,#af2f0d
Safflower Red,#d9333f
Sango Red,#f8674f
Sangoire Red,#881100
Satsuma Imo Red,#96466a
Scab Red,#8b0000
Scarlet Red,#b63e36
Seattle Red,#7d212a
Sequoia Redwood,#763f3d
Shēn Hóng Red,#be0620
Shōjōhi Red,#dc3023
Shu Red,#eb6101
Shy Guy Red,#aa0055
Sienna Red,#b1635e
Sinoper Red,#bb1111
Sizzling Red,#ff3855
Smoking Red,#992200
Sohi Red,#e35c38
Soho Red,#ab6953
Sorx Red,#fc0156
Spanish Red,#e60026
Sparkling Red,#ee3333
Spicy Red,#ff1111
Spiritstone Red,#fd411e
Stanger Red,#a40000
Strawberry Spinach Red,#fa4224
Striking Red,#c03543
Subdue Red,#ccb8b3
Superman Red,#ff1122
Surya Red,#70191f
Taisha Red,#9f5233
Tandoori Red,#d25762
Tango Red,#ac0e2e
Tibetan Red,#782a39
Tile Red,#c76b4a
Tilted Red,#991122
Tomato Red,#ec2d01
Torch Red,#fd0d35
Tractor Red,#fd0f35
True Red,#bf1932
Tuscan Red,#7c4848
UA Red,#d9004c
Ultra Red,#fc6c85
Uluru Red,#921d0f
Untamed Red,#dd0022
Uproar Red,#ee1100
Upsdell Red,#ae2029
Usubeni Red,#f2666c
Valentine Red,#9b233b
Vampire Red,#dd4132
Veinous Blood Red,#3f3033
Venetian Red,#c80815
Vermilion Red,#b5493a
Victoria Red,#6a3c3a
Vintage Red,#9e3641
Violet Red,#a50055
Vivaldi Red,#ef3939
Vivid Red,#f70d1a
Vivid Red Tangelo,#df6124
Watermelon Red,#bf4147
Wazdakka Red,#b21b00
Western Red,#9b6959
When Blue Met Red,#584165
Wild Rider Red,#dc143c
Wine Red,#7b0323
Wishy-Washy Red,#e1dadd
Xiān Hóng Red,#e60626
Young Redwood,#ab4e52
Zōng Hóng Red,#ca6641
